id,retweet_count,date_created,tweet
1512034440897343497,379,2022-04-07 11:47:57+00:00,b'The killing of a Zimbabwean National in South Africa is going to make International News headlines.'
1511774149722742793,417,2022-04-06 18:33:39+00:00,"b'#SupportForMotsoaledi \nI am glad I stood my ground, in defense of our Constitution, when I was called names and rid\xe2\x80\xa6 https://t.co/QEx64FLP4y'"
1511611696300838913,227,2022-04-06 07:48:07+00:00,"b'[In Pictures]: Azania in Kayamnandi, an area established by the EFF through land occupation. \n\nKayamnandi is under\xe2\x80\xa6 https://t.co/L7MXIgJ55o'"
1512082871187816457,0,2022-04-07 15:00:24+00:00,b'Ranbir Kapoor and Alia Bhatt To Head To South Africa For Their Honeymoon After Wedding \xf0\x9f\x98\xae\xf0\x9f\x98\x8d\n\n#AliaBhatt and\xe2\x80\xa6 https://t.co/jzo7KkMUWS'
1512082868159229956,0,2022-04-07 15:00:23+00:00,b'5 laptops done \xe2\x80\x93 5 to go! Just 2 more days for @GlobalGiving\xe2\x80\x99s match campaign. https://t.co/cTDdWTdIL0\n to keep Sou\xe2\x80\xa6 https://t.co/yF5q0Ihe4d'
1512082866099810320,0,2022-04-07 15:00:23+00:00,b'These are the 25 top companies to work for in South Africa https://t.co/wiM4JOIFjN'
1512082861515366412,1,2022-04-07 15:00:21+00:00,"b'RT @BraSam36081136: So going around with petrol,tyres and stones killing other Africans makes u feel like u are better South African.we all\xe2\x80\xa6'"
1512082856863928335,901,2022-04-07 15:00:20+00:00,"b'RT @Judaeda3: \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94We need to retweet this video as many as we can, is this not what Operation Dudula is doing in South Africa right? https:/\xe2\x80\xa6'"
1512082840208363535,0,2022-04-07 15:00:16+00:00,"b'After a comprehensive performance in Durban, South Africa will aim for a clean sweep and solidify their position in\xe2\x80\xa6 https://t.co/34mD22j6ae'"
1512082838115725313,0,2022-04-07 15:00:16+00:00,b'~Ranbir Kapoor &amp; Alia Bhatt to Honeymoon in South Africa?~ \nhttps://t.co/HcHyrgEukL\nORIGINAL ARTICLE: Ranbir Kapoor\xe2\x80\xa6 https://t.co/sGi2QXk4UZ'
1512082837771456517,5,2022-04-07 15:00:16+00:00,b'RT @Kesviii65: Looking for duo for next two weeks and maybe permanent (spy is going to south africa) \n-i can igl or frag \nhttps://t.co/dY28\xe2\x80\xa6'
1512082837414952968,7,2022-04-07 15:00:16+00:00,"b""RT @FelixNdiweni: Xenophobia to The Republic of South Africa is like a Bush fire. It is destroying South Africa's reputation and standing i\xe2\x80\xa6"""
1512082835091320838,0,2022-04-07 15:00:15+00:00,"b'@INHLEKELELE1 @Nkweeng1 We are still waiting for him to go, and why is the biggest lover of South Africa Lux not vi\xe2\x80\xa6 https://t.co/QaCXQtYDVD'"
1512082833950461958,390,2022-04-07 15:00:15+00:00,b'RT @taderfxt: slavery never ended. it is a neocolonial imperialist endeavor that falls on the backs of children in africa and the rest of t\xe2\x80\xa6'
1512082826346197018,379,2022-04-07 15:00:13+00:00,b'RT @Sophie_Mokoena: The killing of a Zimbabwean National in South Africa is going to make International News headlines.'
1512082820469911552,0,2022-04-07 15:00:12+00:00,b'Today the health sector has launched South Africa\xe2\x80\x99s first industry wide Health Information Exchange...marking a sig\xe2\x80\xa6 https://t.co/MDccPnTucO'
1512082814098837513,0,2022-04-07 15:00:10+00:00,b'@Eghosa10513849 @funkyngwenya @AfricaFactsZone Simple Question you gained self rule in 1961 31  November almost 62\xe2\x80\xa6 https://t.co/EhamirVRku'
1512082809527046146,0,2022-04-07 15:00:09+00:00,"b'Special thank you to my 331 new followers from USA, Germany, South Africa, and more last week.\xe2\x80\xa6 https://t.co/2eluQ11ekp'"
1512082806708473863,0,2022-04-07 15:00:08+00:00,b'Yes. Hooligans in South Africa who have taken the law into their own hands in the form of this nonsensical\xe2\x80\xa6 https://t.co/QK8XaR4dDk'
1512082801675317266,532,2022-04-07 15:00:07+00:00,b'RT @ChrisExceI102: The illigal foreigner issue has become a pandemic in South Africa. In other countries this act is considered as terroris\xe2\x80\xa6'
1511611674087858180,0,2022-04-06 07:48:02+00:00,"b'@airport_girl Cape Town, South Africa'"
1511611669096677378,0,2022-04-06 07:48:00+00:00,b'South Africa kills me dawg https://t.co/3c1WhtqIpE'
1511611661697925121,0,2022-04-06 07:47:59+00:00,b'Webinar | Future fit insurance solutions for disaster events \xe2\x80\x93 where do you currently stand?\n@CDHLegal  \nDate: Thur\xe2\x80\xa6 https://t.co/dKitg9ezPI'
1511611653737132045,81,2022-04-06 07:47:57+00:00,b'RT @EFFSouthAfrica: [In Pictures]: EFF Spokesperson @Sinawo_Thambo speaking to NewzRoom Africa ahead of the EFF picket at Johann Rupert far\xe2\x80\xa6'
1511611640294346755,0,2022-04-06 07:47:54+00:00,"b""Her late mother had her at age 17, she was brought up by her grandparents and she wasn't good in Mathematics at Sec\xe2\x80\xa6 https://t.co/Zp5BZHXPkU"""
1511611635139588097,8,2022-04-06 07:47:52+00:00,"b'Our #WCW is Precious Sibalo, a Zimbabwean-born Commercial Pilot, holder of the Airline Transport Pilot Licence (ATP\xe2\x80\xa6 https://t.co/byfrUBoLWj'"
1511611617519312899,0,2022-04-06 07:47:48+00:00,"b'Table Mountain View from Bloubergstrand Beach, Cape Town, South Africa #nature https://t.co/ySp9CdtBD4'"
1511611605192265735,0,2022-04-06 07:47:45+00:00,b'@MercSharoncar @Ziggy18260397 Chest-thumping by the de-facto president of South Africa. HELP!'
1511611568689192960,173,2022-04-06 07:47:37+00:00,"b'RT @City_Press: After a video surfaced of pregnant women sleeping on the cold floor at Rahima Moosa Mother and Child Hospital, DA\xe2\x80\x99s Gauteng\xe2\x80\xa6'"
1511611567930019840,26,2022-04-06 07:47:36+00:00,b'RT @StandardBankZA: Numbers you can call for help with #MentalHealth: Childline South Africa: 0800 055 555 | GBV Command Centre: 080 042 84\xe2\x80\xa6'
1511611538935005188,0,2022-04-06 07:47:29+00:00,b'South Africa add to the point % gap between them and India after a big win against Bangladesh at home. Will the\xe2\x80\xa6 https://t.co/BrtuaFKe9U'
1511611528977559562,133,2022-04-06 07:47:27+00:00,"b'RT @ali_naka: Today is the day that illegal Immigrant, land Thief and Criminal, Jan Van Riebeeck arrived in South Africa.The illegal Foreig\xe2\x80\xa6'"
1511611519120912389,0,2022-04-06 07:47:25+00:00,b'@PMSimferopol @mfa_russia I did not go to South Africa during the apartheid I will not go to Russia until you leave Crimea'
1511611505346818049,552,2022-04-06 07:47:21+00:00,"b'RT @PoojaMedia: No Nigerian refs drafted by FIFA to officiate at World Cup in Qatar. \n\nMorroco, Senegal, Algeria &amp; South Africa among other\xe2\x80\xa6'"
1511611496035340292,25,2022-04-06 07:47:19+00:00,b'RT @LifaQueen: #NoToHealthActAmendment\n@CyrilRamaphosa @PresidencyZA @MYANC Show the people of South Africa that you care about them and th\xe2\x80\xa6'
1511611488317980672,1,2022-04-06 07:47:17+00:00,b'Lol why would anyone do this?? In South Africa??? \xf0\x9f\xa4\xa3 https://t.co/Kosdqsirlp'
1511611486841495552,2,2022-04-06 07:47:17+00:00,"b'RT @asemota: From my limited travel around Africa, I have seen that East and South Africa have Indian communities that have settled for gen\xe2\x80\xa6'"
1511611455510089728,0,2022-04-06 07:47:10+00:00,b'Airlink Increases Air Ties Between South Africa &amp; Zimbabwe \xe2\x80\x93 Simple Flying https://t.co/I8g499SHKk'
1511611432261103619,0,2022-04-06 07:47:04+00:00,"b'@JJ_McCullough Yeah like with apartheid South Africa, oh waittttt'"
1511611427517259780,0,2022-04-06 07:47:03+00:00,"b'He was released from prison after 27 years, and he won a Nobel Peace Prize in 1993 for his work to end apartheid in\xe2\x80\xa6 https://t.co/BUBgOvdUIs'"
1511611421771055106,3,2022-04-06 07:47:01+00:00,"b'FWIW the security and border at South Africa was long, chaotic and took hours to get in. Long queues, faffing with\xe2\x80\xa6 https://t.co/0yjje0mQX9'"
1511611418923180033,552,2022-04-06 07:47:01+00:00,"b'RT @PoojaMedia: No Nigerian refs drafted by FIFA to officiate at World Cup in Qatar. \n\nMorroco, Senegal, Algeria &amp; South Africa among other\xe2\x80\xa6'"
