id,retweet_count,date_created,tweet
1511013030175387649,0,2022-04-04 16:09:14+00:00,b'@brianjdube @WolfelFigaro @B0TT0MLINE @Nompu90570329 @SAfmnews you said it was because lack of economic cooperation\xe2\x80\xa6 https://t.co/pzZ3yzheBf'
1511013021543448576,5,2022-04-04 16:09:12+00:00,b'RT @preciouscfc8: @CFCParee @chelseayouth Hope this helps anyone wanting to watch the mighty Chelsea Youth in action tonight. \n\n7:00pm UK /\xe2\x80\xa6'
1511013010151809024,10,2022-04-04 16:09:09+00:00,b'RT @FreeGeneraxion: Black People in South Africa are slowly seeing the current ANC for what it really is: Gatekeepers of white supremacy.\xe2\x80\xa6'
1511012992841924611,4805,2022-04-04 16:09:05+00:00,b'RT @Manqoba_Mbuli: South Africa here is the Fastest under-18 female sprinter in the WORLD 17 year old Viwe Jingqi\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 https://t.co/\xe2\x80\xa6'
1511012989704486923,1,2022-04-04 16:09:04+00:00,b'RT @JoyceRitchison: @raf_nogueira @QweldtiteQ @Numa11640134 Saw an interview with an expert on nuclear war. He said South America in the so\xe2\x80\xa6'
1511012989469614087,24,2022-04-04 16:09:04+00:00,b'RT @alabiopeyemiola: 2021 Budget Deficit \n\nUSA\n$2.8 trillion \n12.4% of GDP\n\nUK\n\xc2\xa3250 billion \n14.9% of GDP\n\nSouth Africa\nR551.9 billion \n11.\xe2\x80\xa6'
1511012975301255169,1085,2022-04-04 16:09:01+00:00,"b'RT @SirJerryMokoena: Cyril must stop selling the idea that South Africa needs a renewed ANC. What South Africa needs is a fresh start, one\xe2\x80\xa6'"
1511012971392217091,109,2022-04-04 16:09:00+00:00,"b'RT @DrEricDing: 4) And yes, I want to emphasize that the variant may not necessarily be from South Africa \xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 per se\xe2\x80\xa6 but it clearly is the\xe2\x80\xa6'"
1511012968129044480,5,2022-04-04 16:08:59+00:00,"b'RT @AthiBam3: @sadi18032311 Thanks, patriot....We have to continue waging war against these propagandists. South Africa is the only country\xe2\x80\xa6'"
1511012960353021954,3780,2022-04-04 16:08:57+00:00,"b'RT @AfricaFactsZone: Black Coffee, a South African DJ has won the Grammy for the Best Dance/Electronic Music Album for his album, Subconsci\xe2\x80\xa6'"
